zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle de la Montera, Sol, Madrid",€1.648.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Princesa, 3, Argüelles, Madrid",€595.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Sierra de Atapuerca, 3, Las Tablas, Madrid",€730.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Unión, Palacio, Madrid",€1.183.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Verja, Zofío, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Virgen de los Peligros, Sol, Madrid",€2.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Lagasca, Recoletos, Madrid",€2.400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de las Hileras, Sol, Madrid",€1.980.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de las Huertas, Huertas-Cortes, Madrid",€1.490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de las Maldonadas, Lavapiés-Embajadores, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de las Mártires Concepcionistas, Lista, Madrid",€1.985.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de las Mercedes, 16, Cuatro Caminos, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Lope de Rueda, 33, Ibiza, Madrid",€750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Lorenza Correa, Bellas Vistas, Madrid",€715.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Artistas, Cuatro Caminos, Madrid",€475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Cacereños, 41, Villaverde Alto, Madrid",€74.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Fundadores, Fuente del Berro, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Gavilanes, 2, Peñagrande, Madrid",€999.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Madrazo, Huertas-Cortes, Madrid",€2.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de los Relatores, Lavapiés-Embajadores, Madrid",€700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Luchana, Trafalgar, Madrid",€2.650.000,,,,,,,,,,,,,,,,,,,,,,,
